dataset,variable,year_start,year_end,issue_type,severity,resolution,status
bank_pension_transfer_registry,liability_pv_reported_eur;assets_transferred_eur;cash_eur;portuguese_public_debt_eur;other_assets_eur;independent_valuer;final_adjustment_eur,2011,2012,missing_bank_level_transaction_values,high,Acquire bank-level transfer schedules valuation reports or public-account annexes before computing transaction-at-inception ledger values,open
bank_transfer_legal_coverage,DL127_raw_pdf;bank_level_valuation_schedule;transferred_asset_composition;independent_valuer_identity;final_adjustment_records,2009,2012,missing_complete_legal_source_package,medium,Acquire the reliable DL127 raw PDF endpoint and transaction schedules before treating the legal reconstruction as a complete economic transfer record,open
bank_worker_rgss_contributions,bank_worker_population_counts;employee_contributions;employer_contributions;CAFEB_reconciliation;Social_Security_account_bridge;programme_evaluation_benchmarks,2009,2011,missing_bank_worker_flow_inputs,high,Acquire official active-worker population contribution and reconciliation tables before quantifying bank-worker RGSS contribution inflows,open
bank_asset_liability_sensitivity,liability_pv;delta_vs_legal_4pct;mortality_assumption,2011,2012,missing_cashflow_and_demographic_inputs,high,Acquire pension cash-flow schedules and defensible mortality/longevity inputs before computing discount-rate sensitivity,open
actuarial_identifiability_registry,beneficiary_cashflows;age_sex_survivor_structure;pension_amounts;mortality_table;indexation_path;bank_level_retained_obligations,2011,2012,missing_actuarial_identification_inputs,high,Acquire beneficiary or cohort cash-flow demographic indexation and retained-obligation inputs before reporting alternative actuarial present values,open
bank_asset_liability_institution_requirements,bank_level_liability_pv_legal_4pct;bank_level_asset_composition;final_adjustment;cashflow_schedule;mortality_longevity_assumptions,2011,2012,missing_bank_level_statutory_equality_inputs,high,Acquire final bank-level valuation and asset-composition schedules before reproducing statutory equality or interpreting sensitivity results,open
bank_asset_trace_controls,cash_transfer_records;public_debt_security_schedule;other_asset_disposal_records;gross_debt_treatment;social_security_or_fefss_ownership_records,2011,2025,missing_asset_ownership_and_lifecycle_records,high,Acquire Treasury debt-management asset-disposal and ownership records before treating transferred assets as Social Security income or classifying lifecycle effects,open
bank_special_regime_annual,administrative_cost;attributable_investment_income;asset_drawdown;other_financing;timing_adjustment;post_2012_state_specific_transfer;post_2012_pension_expenditure,2012,2025,missing_official_annual_reconciliation_components,high,Acquire annual Conta da Seguranca Social or DGO execution tables with complete RSB transfer expenditure and financing detail before classifying residuals beyond the 2012 official account bridge,open
bank_state_financing_reconciliation_requirements,post_2012_state_specific_transfer;post_2012_pension_expenditure;post_2012_administrative_cost;asset_income_ownership_record;asset_drawdown_lifecycle_record;other_financing_source;timing_adjustment_bridge,2012,2025,missing_residual_classification_inputs,high,Acquire full annual component records under one perimeter before computing residuals or classifying them as Social Security losses,open
bank_pension_cost_2012,bank_level_pension_populations;monthly_cash_flows;retained_liability_values;machine_readable_css_table,2012,2012,missing_component_split,medium,Acquire machine-readable CSS tables or underlying IGFSS extracts before splitting the EUR 516.0m total by bank population or retained-liability component,open
bank_pension_cost_2012_component_requirements,bank_level_pension_populations;monthly_cashflows;retained_liability_values;post_2012_annual_costs;asset_lifecycle_financing,2012,2025,missing_cost_component_and_lifecycle_inputs,medium,Acquire component and lifecycle inputs before splitting the 2012 cost or treating it as a net public-finance loss,open
bank_transfer_debt_financing_effects,cash_transferred;public_debt_securities_transferred;other_assets_transferred;gross_debt_stock_effect;asset_disposal_path;full_pension_cashflow_path,2011,2025,missing_asset_composition_and_lifecycle_costs,high,Acquire final transfer schedules debt-management records and pension cash-flow ledgers before classifying the operation as beneficial or harmful to consolidated public finances,open
bank_debt_financing_classification_requirements,cash_transferred;public_debt_securities_transferred;consolidation_bridge;asset_disposal_path;full_pension_cashflow_path;financing_convention,2011,2025,missing_debt_classification_inputs,high,Acquire asset-composition debt-stock consolidation and obligation-lifecycle records before classifying gross-debt effects or net public-finance gain/loss,open
bpn_2012_pension_transfer,bank_level_population;cash_vs_public_debt_security_mix;full_liability_valuation;monthly_payment_path;post_2012_fund_drawdown,2012,2025,missing_bpn_component_values,medium,Acquire CGA BPN reserve schedules and actuarial valuation workpapers before estimating the BPN case beyond the legal transfer amount and 2012 account extracts,open
bpn_2012_boundary_requirements,broader_perimeter_bridge;full_actuarial_valuation;asset_mix;monthly_payment_path;post_2012_fund_drawdown,2012,2025,missing_bpn_boundary_and_lifecycle_inputs,medium,Acquire broader-perimeter bridge and lifecycle inputs before including BPN in the 2011 DL127 panel or classifying it as a lifecycle result,open
bank_benefit_risk_distribution,bank_level_liability_extinguished;bank_level_assets_surrendered;retained_liability_value;cash_vs_public_debt_asset_mix;economic_discount_sensitivity,2011,2012,missing_bank_level_net_position_inputs,high,Acquire bank-level transfer valuation reports audited fund asset schedules and retained-liability valuations before estimating net benefit or subsidy,open
bank_benefit_risk_classification_requirements,bank_level_net_position;statutory_equality_reproduction;alternative_sensitivity;long_run_state_financing_residual;asset_lifecycle_path,2011,2025,missing_bank_benefit_classification_inputs,high,Acquire bank-level net values actuarial sensitivity lifecycle financing and asset-path evidence before classifying a demonstrable subsidy or public-sector gain or loss,open
bank_financial_statement_effects,2011_annual_report;2012_annual_report;liability_derecognized;assets_surrendered;gain_loss;capital_effect;retained_obligations,2011,2012,missing_audited_statement_extracts,high,Acquire and extract participating banks' audited financial statements before measuring accounting gain capital relief liquidity effect actuarial risk transfer or net benefit,open
bank_esa_treatment_bridge,official_esa95_series;official_esa2010_restatement;transaction_level_edp_bridge,2011,2014,missing_machine_readable_national_accounts_bridge,medium,Acquire official ESA-95 and ESA-2010 national-accounts or EDP restatement tables before marking the reclassification independently reproduced,open
bank_esa_restatement_requirements,machine_readable_esa95_series;machine_readable_esa2010_restatement;edp_transaction_level_bridge;transaction_adjustment_line,2011,2014,missing_esa_restatement_source_tables,medium,Acquire machine-readable ESA and EDP transaction-level tables before replacing the bounded ESA bridge with a full independent restatement,open
pension_flow_of_funds_long,rgss_previdential_balance;fefss_annual_flows;cga_component_flows;bank_level_transfer_schedules;counterparty_observed_rows,2006,2025,missing_system_wide_flow_components,high,Acquire annual institutional ledgers and transaction schedules before treating the matrix as a complete stock-flow-consistent system,open
flow_of_funds_bridge_selection_requirements,rgss_previdential_balance;fefss_annual_flows;cga_component_flows;bank_level_transfer_schedules;explicit_row_selection_bridge,2006,2025,missing_complete_combined_balance_selection_inputs,high,Acquire missing system rows and register explicit bridge selections before deriving complete combined-balance calculations from the matrix,open
counterfactual_financing_regimes,cga_component_ledgers;public_worker_rgss_contribution_path;fefss_return_series;bank_pension_cash_flow_schedule;bank_asset_income_drawdown_path,2006,2025,missing_counterfactual_inputs,high,Acquire the registered inputs before computing numerical counterfactual histories from the rule table,open
counterfactual_execution_requirements,cga_component_ledgers;public_worker_rgss_contribution_path;fefss_return_series;flow_of_funds_row_selections;bank_pension_cash_flow_schedule;bank_asset_income_drawdown_path,2006,2025,missing_counterfactual_execution_inputs,high,Acquire source-backed execution inputs and row selections before producing numeric counterfactual histories or claims,open
falsification_review,payroll_withholding;contribution_revenue_splits;state_transfer_classifications;public_worker_rgss_flows;rgss_fefss_annual_flows;bank_lifecycle_schedules,2006,2025,missing_adversarial_test_inputs,high,Acquire missing primary-source inputs before converting unresolved falsification challenges into definitive manuscript conclusions,open
falsification_decision_requirements,resolved_adversarial_tests;claim_language_boundaries;manuscript_claim_status;bank_lifecycle_schedules;combined_balance_components,2006,2025,missing_resolved_falsification_inputs,high,Resolve falsification blockers before permitting definitive remittance employer-gap combined-balance subsidy or lifecycle language,open
publication_figures_tables,legal_rate_processed_input;cga_count_series;employee_contribution_comparison;employer_contribution_comparison;public_worker_reallocation_series;bank_pv_sensitivity_values;combined_balance_series,1977,2025,missing_publication_series,medium,Generate or acquire the missing processed inputs before marking all publication figures drawable,open
publication_artifact_readiness_requirements,legal_rate_processed_input;cga_count_series;employee_contribution_comparison;employer_contribution_comparison;public_worker_reallocation_series;bank_pv_sensitivity_values;combined_balance_series;readiness_boundary,1977,2025,missing_publication_readiness_inputs,medium,Register missing processed series before marking blocked figures as drawable or moving partial figures beyond bounded article use,open
manuscript_draft,full_cga_component_history;remittance_reconciliation;employer_gap_quantification;post_2006_rgss_reallocation;combined_balance_series;bank_lifecycle_costs,1977,2025,missing_final_manuscript_inputs,high,Resolve the article-evidence and falsification blockers before treating the bounded draft as a final manuscript,open
manuscript_section_boundaries,section_evidence_references;resolved_dependency_gates;claim_language_boundaries;final_manuscript_claims,1977,2025,missing_section_boundary_inputs,medium,Resolve dependency gates and evidence blockers before moving any manuscript section beyond bounded source-backed language,open
article_evidence_claim_boundaries,final_article_evidence;resolved_dependency_gates;complete_output_artifacts;claim_boundary_review,1977,2025,missing_final_article_boundary_inputs,medium,Resolve dependency gates and output artifact blockers before moving article-evidence rows beyond bounded or caveated use,open
internal_replication_review,full_legal_rate_history;machine_readable_esa_restatement;post_2012_state_specific_financing;bank_cashflow_schedules;complete_counterfactual_inputs;current_manuscript_section_boundaries;claim_language_audit,1977,2025,missing_full_replication_inputs,high,Acquire missing primary-source inputs and rerun manuscript boundary gates before treating the bounded internal review as a complete independent replication,open
release_reproducibility_audit,clean_notebook_execution_log;complete_source_chain;final_publication_series;final_manuscript_inputs;compiled_manuscript_artifact,1977,2025,missing_release_completion_inputs,high,Archive a clean sequential notebook run resolve source blockers and regenerate manuscript artifacts before cutting a public report release,open
submission_package,clean_notebook_execution_log;final_article_evidence;complete_archive_source_chain;final_figures_tables;final_manuscript_inputs,1977,2025,missing_final_submission_inputs,high,Resolve release-readiness blockers before treating the package as a final journal submission artifact,open
public_claim_registry,complete_working_group_report;annexes;methodological_notes;released_spreadsheets;underlying_source_tables,2006,2026,missing_working_group_primary_package,high,Acquire the complete 2026 working-group report annexes methods spreadsheets and source-table bridge before classifying public claims as reproduced or not reproduced,open
working_group_2026_replication,public_worker_contributions;fefss_capitalization;share_of_fefss;combined_balance;adjusted_2025_deficit,2006,2026,missing_claim_replication_inputs,high,Register and extract primary report inputs before reconstructing claim-level calculations,open
combined_balance_replication_2026,cga_balance;previdential_balance;working_group_adjustments;alternative_perimeters;bank_special_regime_sensitivity,2006,2025,missing_combined_balance_component_bridge_inputs,high,Acquire the working-group formula annual source tables adjustment bridge and bank-special-regime sensitivity inputs before classifying combined-balance signs,open
joint_balance_definitions,previdential_balance;cga_balance;consolidation_eliminations;historical_adjustments;fefss_flows;bank_special_regime_obligations,2006,2025,missing_joint_balance_source_bridges,high,Acquire registered annual source bridges before converting competing balance definitions into numerical series,open
cga_closed_scheme_decomposition,annual_contributor_counts;annual_pensioner_survivor_counts;contribution_base_payroll;component_contribution_revenues;pension_expenditure;transfer_components;stock_flow_identity,2006,2025,missing_closed_scheme_driver_series,high,Acquire annual CGA demographic and account components before decomposing balance changes into closure mechanics and residual effects,open
manuscript_claim_language_audit,final_article_evidence;resolved_falsification_tests;current_manuscript_section_boundaries;final_manuscript_claims,1977,2025,missing_final_language_gate_inputs,medium,Rerun the claim-language audit after every manuscript revision and update section-boundary mappings before any final headline conclusion,open
analysis_protocol,source_class_completion;confirmatory_notebook_gates;protocol_version_control,1977,2025,missing_confirmatory_source_inputs,medium,Resolve required source classes before treating defined estimands as final confirmatory tests,open
concept_registry,historical_source_definitions;official_label_changes;dataset_level_concept_coverage,1977,2025,missing_complete_accounting_ontology_sources,medium,Acquire source-complete official definitions and revision histories before treating the concept registry as a complete historical ontology,open
literature_map,Scopus;Web_of_Science;EconLit;Google_Scholar;Portuguese_library_catalogues,1977,2026,missing_dedicated_database_search,medium,Run a dedicated bibliographic database search before treating the bounded literature map as a complete novelty review,open
source_coverage_matrix,year_level_downloads;source_hashes;table_extraction;archived_catalogue_search,1977,2025,missing_primary_source_acquisition_and_extraction,high,Download hash and extract year-level official files behind each located catalogue before treating observed source routes as reconstructed data,open
source_acquisition_log,DGO_archive_downloads;Banco_de_Portugal_ESA2010_page;Diario_da_Republica_full_text_or_pdf,1977,2025,remaining_registered_sources_not_acquired,high,Find non-shell official acquisition routes for failed or shell-only registered sources before treating the raw archive as complete,open
extraction_audit,remaining_year_level_tables;second_checks_for_future_headline_values;OCR_review_logs,1977,2025,missing_complete_table_extraction,high,Complete extraction and independent QA for year-level official tables before treating the audit as a complete historical extraction record,open
unit_registry,registered_price_index;real_price_variants;future_source_unit_conversions,1977,2025,missing_real_price_conversion_inputs,medium,Register price-index sources and explicit conversion rules before creating real-price variants or joining newly observed source units,open
source_conflict_registry,remaining_source_pairs;revision_tables;unresolved_range_propagation,1977,2025,missing_complete_conflict_inventory,medium,Review each newly extracted official table pair and propagate unresolved ranges into derived outputs before treating conflict handling as complete,open
data_license_registry,institution_specific_terms;public_release_file_filter;archive_identifiers,1977,2026,missing_final_rights_review,medium,Verify source-by-source redistribution terms before publishing raw official files and replace unclear captures with metadata hashes citations and clean-room retrieval instructions,open
legal_contribution_registry,pre_2006_rate_history;budget_law_article_extractions;employer_class_backfill,1977,2025,missing_complete_primary_law_rate_history,high,Acquire and hash year-specific budget-law articles before treating the legal contribution registry as a complete primary-legislation rate panel,open
employer_perimeter_registry,entity_year_classification;payroll_base_by_employer_class;esa_reclassification_history,1977,2025,missing_entity_year_public_employer_panel,high,Acquire DGAEP CGA CGE budget-law and national-accounts entity-year sources before allocating payroll bases or recorded contributions across restructurings and sector reclassifications,open
state_financing_rule_registry,annual_budget_appropriations;settlement_rules;post_2012_special_transfer_series,1977,2025,missing_complete_state_financing_series,high,Acquire year-level State Budget CGE CGA and Social Security account tables before interpreting transfers as balancing residuals fixed appropriations settlements or extraordinary financing,open
rgss_rate_decomposition,year_level_rgss_legal_rates_by_contingency;worker_employer_split_by_contingency;public_employer_direct_risk_mapping,1977,2025,missing_complete_rgss_contingency_decomposition,high,Acquire primary RGSS legal-rate tables and direct public-employer risk sources before treating broad RGSS rates as comparable pension-risk obligations,open
